"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Create file","LMS service","Sat Mar 14 15:46:53 UTC 2026","passed","Sat Mar 14 15:46:53 UTC 2026","Create entity","Files","",""
"","34","Create file with empty filename","LMS service","Sat Mar 14 15:46:54 UTC 2026","passed","Sat Mar 14 15:46:54 UTC 2026","Validate entity","Files","",""
"","329","Create exercise","LMS service","Sat Mar 14 15:46:50 UTC 2026","passed","Sat Mar 14 15:46:50 UTC 2026","Create entity","Exercises","",""
"","629","Create user","LMS service","Sat Mar 14 15:46:57 UTC 2026","passed","Sat Mar 14 15:46:57 UTC 2026","Create entity","Users","",""
"","31","Create course","LMS service","Sat Mar 14 15:46:49 UTC 2026","passed","Sat Mar 14 15:46:49 UTC 2026","Create entity","Courses","",""
"","17","Get exercise","LMS service","Sat Mar 14 15:46:51 UTC 2026","passed","Sat Mar 14 15:46:51 UTC 2026","Get entity","Exercises","",""
"","19","Get exercises","LMS service","Sat Mar 14 15:46:53 UTC 2026","passed","Sat Mar 14 15:46:53 UTC 2026","Get entities","Exercises","",""
"","624","Login with correct email and password","LMS service","Sat Mar 14 15:46:47 UTC 2026","passed","Sat Mar 14 15:46:47 UTC 2026","Login","Authentication","",""
"","20","Update exercise","LMS service","Sat Mar 14 15:46:50 UTC 2026","passed","Sat Mar 14 15:46:50 UTC 2026","Update entity","Exercises","",""
"","14","Get file","LMS service","Sat Mar 14 15:46:54 UTC 2026","passed","Sat Mar 14 15:46:54 UTC 2026","Get entity","Files","",""
"","301","Get file with incorrect file id","LMS service","Sat Mar 14 15:46:56 UTC 2026","passed","Sat Mar 14 15:46:57 UTC 2026","Validate entity","Files","",""
"","301","Create file with empty directory","LMS service","Sat Mar 14 15:46:55 UTC 2026","passed","Sat Mar 14 15:46:55 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Sat Mar 14 15:46:58 UTC 2026","passed","Sat Mar 14 15:46:58 UTC 2026","Get entity","Users","",""
"","574","Create user","LMS service","Sat Mar 14 15:46:55 UTC 2026","passed","Sat Mar 14 15:46:56 UTC 2026","Create entity","Users","",""
"","23","Delete file","LMS service","Sat Mar 14 15:46:55 UTC 2026","passed","Sat Mar 14 15:46:55 UTC 2026","Delete entity","Files","",""
"","599","Create user","LMS service","Sat Mar 14 15:46:56 UTC 2026","passed","Sat Mar 14 15:46:57 UTC 2026","Create entity","Users","",""
"","332","Get courses","LMS service","Sat Mar 14 15:46:48 UTC 2026","passed","Sat Mar 14 15:46:48 UTC 2026","Get entities","Courses","",""
"","331","Update course","LMS service","Sat Mar 14 15:46:48 UTC 2026","passed","Sat Mar 14 15:46:48 UTC 2026","Update entity","Courses","",""
"","326","Delete exercise","LMS service","Sat Mar 14 15:46:51 UTC 2026","passed","Sat Mar 14 15:46:52 UTC 2026","Delete entity","Exercises","",""
